customer_id,organization_id,customer_name,aadhaar_number,pan_number,deleted_at,retention_period,kyc_status,masked_ssn
1,ORG-0002,Aarav Sharma,621175500261,OSSLH4287F,,5 years,failed,XXX-XX-3547
2,ORG-0004,Suresh Naidu,713332041902,HQXHS1067C,,1 year,expired,XXX-XX-5554
3,ORG-0008,Rohan Mishra,713676065243,HYRFV3708Z,,5 years,verified,XXX-XX-4456
4,ORG-0010,Radha Venkatesh,724861175740,PJZCQ4781F,,7 years,verified,XXX-XX-7304
5,ORG-0007,Pooja Thakur,959807652611,LLYGQ7516U,,3 years,pending,XXX-XX-7126
6,ORG-0003,Kavya Pillai,254139822509,TVZPY1691Q,,7 years,pending,XXX-XX-9835
7,ORG-0004,Amit Choudhury,636384200556,ASBBB8026G,,10 years,expired,XXX-XX-4981
8,ORG-0008,Meera Krishnamurthy,810444769047,IWGFR4422C,,10 years,verified,XXX-XX-1828
9,ORG-0009,Lakshmi Sundaram,299814240392,GULLW9957E,,3 years,verified,XXX-XX-9883
10,ORG-0001,Deepak Pandey,705581901567,GDXFS5645Q,,5 years,pending,XXX-XX-6147
11,ORG-0004,Krishna Iyer,816499065051,NDJBH3187T,,10 years,verified,XXX-XX-5905
12,ORG-0002,Radha Venkatesh,428712236856,GXBLI0319F,,10 years,expired,XXX-XX-1158
13,ORG-0002,Aditya Reddy,458511387882,FGCPN9792F,,3 years,expired,XXX-XX-1406
14,ORG-0003,Deepak Pandey,774672173042,FXJFH0138Y,,10 years,expired,XXX-XX-9785
15,ORG-0006,Aarav Sharma,382590537499,DXEAW4586X,,3 years,failed,XXX-XX-8066
16,ORG-0002,Karan Banerjee,766195636518,RJTCT5483G,,10 years,failed,XXX-XX-8618
17,ORG-0008,Aadhya Rao,557976266092,GIUCA0967O,,10 years,pending,XXX-XX-7291
18,ORG-0008,Myra Chatterjee,516888728640,OXDCZ4553Y,,10 years,expired,XXX-XX-9976
19,ORG-0008,Radha Venkatesh,474226756202,HHIPC1267C,,5 years,expired,XXX-XX-7812
20,ORG-0001,Reyansh Gupta,837908549238,XVNPZ6224A,,7 years,pending,XXX-XX-8657
21,ORG-0003,Pooja Thakur,295604812343,IWHLI8470L,,1 year,verified,XXX-XX-1508
22,ORG-0004,Reyansh Gupta,262419423698,SUEGD5959M,,3 years,verified,XXX-XX-4978
23,ORG-0002,Amit Choudhury,686197343537,WVCHU8411Q,,5 years,expired,XXX-XX-8616
24,ORG-0007,Lakshmi Sundaram,632924756342,IMJGK2585Q,,1 year,pending,XXX-XX-7658
25,ORG-0008,Kavya Pillai,566470263546,NLTHL7221G,,10 years,pending,XXX-XX-4138
26,ORG-0004,Deepak Pandey,925759823373,DBBGW9671A,,7 years,expired,XXX-XX-8216
27,ORG-0006,Sai Nair,228104561892,CGOLT5673O,,10 years,expired,XXX-XX-6003
28,ORG-0010,Pooja Thakur,267922611005,LPHFJ7746I,,10 years,pending,XXX-XX-7965
29,ORG-0002,Kavya Pillai,569801375217,RSYPR4004K,,1 year,verified,XXX-XX-4750
30,ORG-0010,Riya Malhotra,296207469152,QMCHN3683W,,7 years,verified,XXX-XX-8451
31,ORG-0002,Ananya Desai,639459654138,TQTFI5946D,2025-07-14 19:51:15,3 years,failed,XXX-XX-1224
32,ORG-0009,Sara Bose,328196192742,MMLCM1571C,,7 years,failed,XXX-XX-9318
33,ORG-0005,Lakshmi Sundaram,222594153557,LIEFS3843P,,7 years,expired,XXX-XX-3492
34,ORG-0008,Vivaan Patel,455884547464,EMZHT6688R,,5 years,expired,XXX-XX-9864
35,ORG-0001,Pooja Thakur,326220977117,HAIAJ3424V,,3 years,pending,XXX-XX-2293
36,ORG-0010,Geetha Raghavan,862914220897,RELHS2964J,,7 years,expired,XXX-XX-2747
37,ORG-0004,Myra Chatterjee,759296256707,PMXGY7636T,,3 years,verified,XXX-XX-1645
38,ORG-0005,Meera Krishnamurthy,903193427831,NHEJZ2884C,,3 years,expired,XXX-XX-6992
39,ORG-0002,Meera Krishnamurthy,805466589123,AWOTH6647U,,3 years,verified,XXX-XX-1609
40,ORG-0005,Priya Verma,308146794718,KCMLI0349L,2025-11-05 11:34:57,5 years,verified,XXX-XX-7523
41,ORG-0005,Reyansh Gupta,398026903976,FVOTG8277T,2022-10-24 04:34:16,3 years,verified,XXX-XX-1422
42,ORG-0003,Aarav Sharma,772310757477,NCNTB7963U,,1 year,expired,XXX-XX-7580
43,ORG-0007,Karan Banerjee,349006026537,ZNLTN0786Y,,3 years,expired,XXX-XX-8398
44,ORG-0004,Sara Bose,783733296404,CLTHZ1095V,,5 years,expired,XXX-XX-1842
45,ORG-0005,Pooja Thakur,635262183759,UVZTT6566W,,3 years,failed,XXX-XX-6062
46,ORG-0006,Diya Kapoor,211607905349,EIITT0016V,2024-06-26 21:27:31,10 years,expired,XXX-XX-7785
47,ORG-0005,Reyansh Gupta,331655329021,YTTGK1441R,,10 years,failed,XXX-XX-2180
48,ORG-0007,Geetha Raghavan,244034462491,EYLHC4144C,,5 years,failed,XXX-XX-4630
49,ORG-0006,Suresh Naidu,406517396115,GEDBF9645S,,10 years,failed,XXX-XX-6179
50,ORG-0003,Aadhya Rao,346753040328,QZCTQ3597B,,10 years,pending,XXX-XX-6267
51,ORG-0010,Priya Verma,494889060795,NPJGM4357U,,5 years,verified,XXX-XX-7333
52,ORG-0005,Krishna Iyer,435139635931,JUVPC6433F,,5 years,expired,XXX-XX-4145
53,ORG-0004,Arjun Kumar,408178803719,JEVTZ9703X,,7 years,failed,XXX-XX-8355
54,ORG-0004,Kavya Pillai,538483994238,NZVTE8043D,,10 years,verified,XXX-XX-5670
55,ORG-0002,Suresh Naidu,429149243008,NGZHH0986Z,,1 year,failed,XXX-XX-8740
56,ORG-0003,Suresh Naidu,940028575120,HBKTO0845U,,3 years,pending,XXX-XX-5772
57,ORG-0007,Aarav Sharma,724609055959,KMQHI7302V,,10 years,failed,XXX-XX-3185
58,ORG-0001,Diya Kapoor,781746680745,HBFAK9595I,2025-08-17 06:18:22,1 year,failed,XXX-XX-5476
59,ORG-0002,Meera Krishnamurthy,744493163724,CLLCR2132O,,7 years,pending,XXX-XX-8272
60,ORG-0006,Aadhya Rao,279646706456,TEATV7007L,,10 years,verified,XXX-XX-3513
61,ORG-0008,Diya Kapoor,740133290155,XDUJG9294D,,1 year,expired,XXX-XX-3828
62,ORG-0008,Aditya Reddy,767522177132,FZUFZ4354R,,1 year,verified,XXX-XX-6067
63,ORG-0007,Amit Choudhury,957809646380,UQECN5885J,,5 years,pending,XXX-XX-6669
64,ORG-0009,Radha Venkatesh,682651355195,ERSTK8580B,,10 years,failed,XXX-XX-4453
65,ORG-0010,Sara Bose,246294862005,LMFTE3778M,,5 years,verified,XXX-XX-6228
66,ORG-0004,Aadhya Rao,322023628139,PITJQ4840M,,3 years,pending,XXX-XX-6781
67,ORG-0001,Vivaan Patel,648645848773,JKOFL5057I,,10 years,verified,XXX-XX-3108
68,ORG-0002,Myra Chatterjee,773971550132,MLPPE3619X,,10 years,failed,XXX-XX-9311
69,ORG-0009,Kavya Pillai,972836957763,AMZTS2045X,,7 years,pending,XXX-XX-4968
70,ORG-0001,Riya Malhotra,314442564874,SNOJQ3945R,,5 years,expired,XXX-XX-4150
71,ORG-0004,Krishna Iyer,629222733977,HDRLM8982J,,1 year,failed,XXX-XX-8247
72,ORG-0005,Deepak Pandey,928252172096,FGCHW4619F,,7 years,expired,XXX-XX-4267
73,ORG-0005,Ananya Desai,669055799187,EXZLZ4999B,2025-03-09 19:06:59,5 years,failed,XXX-XX-8444
